Name,Year,Director,Screenplay,Budget,Revenue,Genre 1,Genre 2,Genre 3,Duration
When Marnie Was There,2014,Hiromasa Yonebayashi,Joan G. Robinson,1150000000,34949567,Animation,Drama,Thriller,0 days 01:43:00
The Tale of The Princess Kaguya,2013,Isao Takahata,Riko Sakaguchi,49300000,24366656,Animation,Drama,Fantasy,0 days 02:17:00
The Wind Rises,2013,Hayao Miyazaki,Tatsuo Hori,30000000,117932401,Drama,Animation,Romance,0 days 02:06:00
From Up on Poppy Hill,2011,Goro Miyazaki,Hayao Miyazaki,22000000,61037844,Animation,Drama,Romance,0 days 01:31:00
The Secret World of Arrietty,2010,Hiromasa Yonebayashi,Mary Norton,23000000,149480483,Fantasy,Animation,Family,0 days 01:34:00
Ponyo,2008,Hayao Miyazaki,Hayao Miyazaki,34000000,202404009,Animation,Fantasy,Family,0 days 01:40:00
Ocean Waves,1994,Tomomi Mochizuki,Saeko Himuro,5000000,100000,Animation,Drama,Romance,0 days 01:12:00
Tales from Earthsea,2006,Goro Miyazaki,Ursula K. Le Guin,22000000,68625104,Animation,Fantasy,Adventure,0 days 01:55:00
Only Yesterday,1991,Isao Takahata,Hayao Miyazaki,2500000,473110,Animation,Drama,Romance,0 days 01:59:00
Spirited Away,2001,Hayao Miyazaki,Hayao Miyazaki,19000000,274925095,Animation,Family,Fantasy,0 days 02:05:00
My Neighbors the Yamadas,1999,Isao Takahata,Isao Takahata,20500000,167000000,Animation,Family,Comedy,0 days 01:44:00
Whisper of the Heart,1995,Yoshifumi Kondo,Hayao Miyazaki,7000000,34900000,Animation,Drama,Family,0 days 01:51:00
Grave of the Fireflies,1988,Isao Takahata,Akiyuki Nosaka,3700000,516962,Animation,Drama,War,0 days 01:29:00
My Neighbor Totoro,1988,Hayao Miyazaki,Hayao Miyazaki,3700000,41000000,Fantasy,Animation,Family,0 days 01:26:00
Princess Mononoke,1997,Hayao Miyazaki,Hayao Miyazaki,23500000,169000000,Adventure,Fantasy,Animation,0 days 02:14:00
Howl's Moving Castle,2004,Hayao Miyazaki,Diana Wynne Jones,24000000,236049757,Fantasy,Animation,Adventure,0 days 01:59:00
Castle in the Sky,1986,Hayao Miyazaki,Hayao Miyazaki,3000000,5228752,Adventure,Fantasy,Animation,0 days 02:05:00
Kiki's Delivery Service,1989,Hayao Miyazaki,Eiko Kadono,6900000,4493017,Animation,Family,Fantasy,0 days 01:43:00
Pom Poko,1994,Isao Takahata,Isao Takahata,12000000,4470000000,Adventure,Animation,Fantasy,0 days 01:59:00
Porco Rosso,1992,Hayao Miyazaki,Hayao Miyazaki,9200000,34100000,Family,Comedy,Animation,0 days 01:33:00
The Cat Returns,2002,Hiroyuki Morita,Reiko Yoshida,20000000,54016370,Adventure,Fantasy,Animation,0 days 01:15:00
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,Kazunori Ito,1000000,3301446,Adventure,Animation,Fantasy,0 days 01:57:00
The Boy and the Heron,2023,Hayao Miyazaki,Hayao Miyazaki,100000000,167000000,Fantasy,Adventure,Animation,0 days 02:04:00
