Name,Year,Director,Screenplay,Budget,Revenue,Genre 1,Genre 2,Genre 3,Duration
"When Marnie Was There
       (2014)",2014,Hiromasa Yonebayashi,Joan G. Robinson,$1150000000.00,$34949567.00,Animation,Drama,,1h 43m
"The Tale of The Princess Kaguya
       (2013)",2013,Isao Takahata,Riko Sakaguchi,$49300000.00,$24366656.00,Animation,Drama,Fantasy,2h 17m
"The Wind Rises
       (2013)",2013,Hayao Miyazaki,Tatsuo Hori,$30000000.00,$117932401.00,Drama,Animation,Romance,2h 6m
"From Up on Poppy Hill
       (2011)",2011,Goro Miyazaki,Hayao Miyazaki,$22000000.00,$61037844.00,Animation,Drama,,1h 31m
"The Secret World of Arrietty
       (2010)",2010,Hiromasa Yonebayashi,Mary Norton,$23000000.00,$149480483.00,Fantasy,Animation,Family,1h 34m
"Ponyo
       (2008)",2008,Hayao Miyazaki,,$34000000.00,$202404009.00,Animation,Fantasy,Family,1h 40m
"Ocean Waves
       (1994)",1994,Tomomi Mochizuki,Saeko Himuro,$5000000.00,$100000.00,Animation,Drama,Romance,1h 12m
"Tales from Earthsea
       (2006)",2006,Goro Miyazaki,Ursula K. Le Guin,$22000000.00,$68625104.00,Animation,Fantasy,Adventure,1h 55m
"Only Yesterday
       (1991)",1991,Isao Takahata,,$2500000.00,$473110.00,Animation,Drama,Romance,1h 59m
"Spirited Away
       (2001)",2001,Hayao Miyazaki,,$19000000.00,$274925095.00,Animation,Family,Fantasy,2h 5m
"My Neighbors the Yamadas
       (1999)",1999,Isao Takahata,,$20500000.00,$167000000.00,Animation,Family,,1h 44m
"Whisper of the Heart
       (1995)",1995,Yoshifumi Kondo,Hayao Miyazaki,$7000000.00,$34900000.00,Animation,Drama,Family,1h 51m
"Grave of the Fireflies
       (1988)",1988,Isao Takahata,Akiyuki Nosaka,$3700000.00,$516962.00,Animation,Drama,War,1h 29m
"My Neighbor Totoro
       (1988)",1988,Hayao Miyazaki,,$3700000.00,$41000000.00,Fantasy,Animation,Family,1h 26m
"Princess Mononoke
       (1997)",1997,Hayao Miyazaki,,$23500000.00,$169000000.00,Adventure,Fantasy,Animation,2h 14m
"Howl's Moving Castle
       (2004)",2004,Hayao Miyazaki,Diana Wynne Jones,$24000000.00,$236049757.00,Fantasy,Animation,Adventure,1h 59m
"Castle in the Sky
       (1986)",1986,Hayao Miyazaki,,$3000000.00,$5228752.00,Adventure,Fantasy,Animation,2h 5m
"Kiki's Delivery Service
       (1989)",1989,Hayao Miyazaki,Eiko Kadono,$6900000.00,$4493017.00,Animation,Family,Fantasy,1h 43m
Pom Poko,1994,Isao Takahata,,$12000000.00,$4470000000.00,Adventure,Animation,Fantasy,1h 59m
Porco Rosso,1992,Hayao Miyazaki,,$9200000.00,$34100000.00,Family,Comedy,Animation,1h 33m
The Cat Returns,2002,Hiroyuki Morita,Reiko Yoshida,$20000000.00,$54016370.00,Adventure,Fantasy,Animation,1h 15m
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,Kazunori Ito,$1000000.00,$3301446.00,Adventure,Animation,Fantasy,1h 57m
The Boy and the Heron,2023,Hayao Miyazaki,Hayao Miyazaki,$100000000.00,$167000000.00,Fantasy,Adventure,,2h 4m
